ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,successful_count
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772471930880,996,15,15
2025-08-27 14:08:53.667145,13449,13449,18446619754767504000,97244008833024,2592,95,95
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772470726656,1156,2,2
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161242112,656,1,1
2025-08-27 14:08:53.667145,13019,13494,18446619757348945920,22147072,2016,35,35
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,110009501773824,1544,1,1
2025-08-27 14:08:53.667145,13095,13671,18446619754767485696,27942912,3040,46,46
2025-08-27 14:08:53.667145,13116,13757,18446619754767482880,137588907171840,916,3,3
2025-08-27 14:08:53.667145,13019,13524,18446619757348945920,824634130432,2120,68,68
2025-08-27 14:08:53.667145,12779,12814,18446619755031270912,17137664,2872,1,1
2025-08-27 14:08:53.667145,13019,13019,18446619757348945920,824634130432,2120,27,27
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772471930880,452,18,18
2025-08-27 14:08:53.667145,13253,16537,18446619754767492736,124874161393664,4048,1,1
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772470726656,964,3,3
2025-08-27 14:08:53.667145,13095,13664,18446619754767485696,824635965440,2120,10,10
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772475293696,1344,31,31
2025-08-27 14:08:53.667145,13253,16545,18446619754767492736,124874161250304,144,1,1
2025-08-27 14:08:53.667145,13253,16543,18446619754767492736,124874161254400,3684,2,2
2025-08-27 14:08:53.667145,13095,13669,18446619754767485696,27942912,3040,81,81
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161250304,144,2,2
2025-08-27 14:08:53.667145,13253,16544,18446619754767492736,124874161242112,736,1,1
2025-08-27 14:08:53.667145,13019,13494,18446619757348945920,22155264,224,65,65
2025-08-27 14:08:53.667145,13019,13672,18446619757348945920,824634138624,1096,69,69
2025-08-27 14:08:53.667145,13116,13537,18446619754767482880,137590537728000,716,3,3
2025-08-27 14:08:53.667145,13253,16538,18446619754767492736,124874161250304,144,1,1
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874161393664,3968,1,1
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161254400,3680,1,1
